Place,Year,city_population,County,county_population,city_county_proportion
Berkeley,1971,113500,Alameda County,1082200,0.10487895028645353
Berkeley,1972,112300,Alameda County,1093800,0.10266959224721156
Berkeley,1973,110100,Alameda County,1094600,0.10058468847067421
Berkeley,1974,109000,Alameda County,1097600,0.09930758017492711
Berkeley,1975,108900,Alameda County,1102700,0.09875759499410537
Berkeley,1976,108600,Alameda County,1107400,0.09806754560231172
Berkeley,1977,107300,Alameda County,1106000,0.09701627486437613
Berkeley,1978,106600,Alameda County,1110000,0.09603603603603604
Berkeley,1979,105100,Alameda County,1104100,0.09519065302055973
Berkeley,1980,103700,Alameda County,1105700,0.09378674143076784
Long Beach,1971,360500,Los Angeles County,7079000,0.050925271931063706
Long Beach,1972,360700,Los Angeles County,7085100,0.05090965547416409
Long Beach,1973,360200,Los Angeles County,7080600,0.050871395079513035
Long Beach,1974,355200,Los Angeles County,7101000,0.05002112378538234
Long Beach,1975,353600,Los Angeles County,7153200,0.049432421853156626
Long Beach,1976,358100,Los Angeles County,7219100,0.04960452133922511
Long Beach,1977,359800,Los Angeles County,7250600,0.049623479436184594
Long Beach,1978,361500,Los Angeles County,7301400,0.049511052674829484
Long Beach,1979,362200,Los Angeles County,7365900,0.04917253831846753
Long Beach,1980,360500,Los Angeles County,7441700,0.048443232057191234
Pasadena,1971,112400,Los Angeles County,7079000,0.015877948862833734
Pasadena,1972,111000,Los Angeles County,7085100,0.015666680780793495
Pasadena,1973,109500,Los Angeles County,7080600,0.015464791119396661
Pasadena,1974,107700,Los Angeles County,7101000,0.01516687790452049
Pasadena,1975,108300,Los Angeles County,7153200,0.015140077168260359
Pasadena,1976,108100,Los Angeles County,7219100,0.014974165754733969
Pasadena,1977,108900,Los Angeles County,7250600,0.015019446666482774
Pasadena,1978,109500,Los Angeles County,7301400,0.014997123839263703
Pasadena,1979,112600,Los Angeles County,7365900,0.01528665879254402
Pasadena,1980,117200,Los Angeles County,7441700,0.01574908958974428
Berkeley,1981,103300,Alameda County,1117800,0.0924136697083557
Berkeley,1982,104700,Alameda County,1134000,0.09232804232804233
Berkeley,1983,105500,Alameda County,1151800,0.09159576315332522
Berkeley,1984,104600,Alameda County,1170400,0.08937115516062885
Berkeley,1985,105500,Alameda County,1185500,0.08899198650358499
Berkeley,1986,104500,Alameda County,1206900,0.086585466898666
Berkeley,1987,104300,Alameda County,1220600,0.0854497787973128
Berkeley,1988,103700,Alameda County,1242300,0.08347420107864445
Berkeley,1989,103600,Alameda County,1261200,0.08214398985093561
Berkeley,1990,103000,Alameda County,1274700,0.08080332627284852
Long Beach,1981,364000,Los Angeles County,7554900,0.048180650968245774
Long Beach,1982,371600,Los Angeles County,7689900,0.04832312513816825
Long Beach,1983,378400,Los Angeles County,7846900,0.04822286508047764
Long Beach,1984,383000,Los Angeles County,7985000,0.04796493425172198
Long Beach,1985,391400,Los Angeles County,8121000,0.04819603497106268
Long Beach,1986,399300,Los Angeles County,8286100,0.04818913602297824
Long Beach,1987,410100,Los Angeles County,8452200,0.048519911975580324
Long Beach,1988,419500,Los Angeles County,8585300,0.0488625907073719
Long Beach,1989,425900,Los Angeles County,8706200,0.048919161057637085
Long Beach,1990,427200,Los Angeles County,8832500,0.04836682705915652
Pasadena,1981,119100,Los Angeles County,7554900,0.015764603105269427
Pasadena,1982,121200,Los Angeles County,7689900,0.015760933172082863
Pasadena,1983,123600,Los Angeles County,7846900,0.01575144324510316
Pasadena,1984,125500,Los Angeles County,7985000,0.015716969317470256
Pasadena,1985,127400,Los Angeles County,8121000,0.015687723186799656
Pasadena,1986,127800,Los Angeles County,8286100,0.015423419944243975
Pasadena,1987,128800,Los Angeles County,8452200,0.015238636094744563
Pasadena,1988,129500,Los Angeles County,8585300,0.015083922518723866
Pasadena,1989,130000,Los Angeles County,8706200,0.014931887620316556
Pasadena,1990,131200,Los Angeles County,8832500,0.014854231531276536
Berkeley,1991,102098,Alameda County,1284782,0.0794671780893568
Berkeley,1992,102616,Alameda County,1302709,0.07877123747513835
Berkeley,1993,101980,Alameda County,1318127,0.07736735534588093
Berkeley,1994,101252,Alameda County,1327526,0.0762711992081511
Berkeley,1995,100943,Alameda County,1333031,0.07572442051235118
Berkeley,1996,100148,Alameda County,1340509,0.0747089351880517
Berkeley,1997,100904,Alameda County,1361330,0.07412163105198592
Berkeley,1998,101893,Alameda County,1389000,0.07335709143268539
Berkeley,1999,102268,Alameda County,1412315,0.0724116078920071
Berkeley,2000,102540,Alameda County,1437136,0.07135024103494729
Long Beach,1991,436904,Los Angeles County,8908269,0.049044769528176574
Long Beach,1992,441527,Los Angeles County,9007999,0.04901499211978154
Long Beach,1993,439451,Los Angeles County,9072159,0.0484395169881833
Long Beach,1994,438132,Los Angeles County,9095157,0.04817201066457676
Long Beach,1995,436566,Los Angeles County,9103896,0.04795375518349507
Long Beach,1996,437446,Los Angeles County,9104719,0.04804607368991838
Long Beach,1997,439945,Los Angeles County,9147051,0.04809692216649934
Long Beach,1998,444966,Los Angeles County,9225813,0.04823054618601092
Long Beach,1999,451399,Los Angeles County,9330171,0.04838057094559146
Long Beach,2000,459318,Los Angeles County,9477651,0.04846327428600188
Pasadena,1991,130843,Los Angeles County,8908269,0.01468781420947212
Pasadena,1992,131238,Los Angeles County,9007999,0.014569051350916002
Pasadena,1993,131793,Los Angeles County,9072159,0.014527192479761433
Pasadena,1994,130973,Los Angeles County,9095157,0.0144003011712717
Pasadena,1995,130994,Los Angeles County,9103896,0.014388784757646616
Pasadena,1996,130636,Los Angeles County,9104719,0.014348163847780475
Pasadena,1997,130872,Los Angeles County,9147051,0.014307562076564348
Pasadena,1998,131430,Los Angeles County,9225813,0.014245898979309465
Pasadena,1999,132297,Los Angeles County,9330171,0.014179482884075757
Pasadena,2000,133547,Los Angeles County,9477651,0.014090727755221204
Berkeley,2001,103695,Alameda County,1457185,0.07116117720124761
Berkeley,2002,104793,Alameda County,1467063,0.0714304702661031
Berkeley,2003,105139,Alameda County,1467892,0.0716258416831756
Berkeley,2004,105611,Alameda County,1466407,0.07202025085804964
Berkeley,2005,105880,Alameda County,1462736,0.07238490062458297
Berkeley,2006,107398,Alameda County,1462371,0.07344100778803737
Berkeley,2007,108721,Alameda County,1470622,0.07392858259974351
Berkeley,2008,109762,Alameda County,1484085,0.07395937564223073
Berkeley,2009,110982,Alameda County,1497799,0.07409672459388743
Berkeley,2010,112363,Alameda County,1509240,0.07445005433198167
Long Beach,2001,463689,Los Angeles County,9590080,0.04835090009676666
Long Beach,2002,465795,Los Angeles County,9679212,0.048123235651827856
Long Beach,2003,469713,Los Angeles County,9756914,0.048141553774072414
Long Beach,2004,472013,Los Angeles County,9806944,0.04813048794813145
Long Beach,2005,470781,Los Angeles County,9816153,0.04795982703203587
Long Beach,2006,467586,Los Angeles County,9798609,0.04771963040876516
Long Beach,2007,465017,Los Angeles County,9780808,0.047543822555355345
Long Beach,2008,463250,Los Angeles County,9785474,0.047340578494204776
Long Beach,2009,462211,Los Angeles County,9801096,0.04715911363382218
Long Beach,2010,462685,Los Angeles County,9822121,0.04710642436597961
Pasadena,2001,134119,Los Angeles County,9590080,0.013985180519870534
Pasadena,2002,135744,Los Angeles County,9679212,0.01402428214197602
Pasadena,2003,137416,Los Angeles County,9756914,0.014083961383691605
Pasadena,2004,137555,Los Angeles County,9806944,0.014026285864383441
Pasadena,2005,137501,Los Angeles County,9816153,0.014007626001754455
Pasadena,2006,136411,Los Angeles County,9798609,0.013921465791726153
Pasadena,2007,135424,Los Angeles County,9780808,0.01384589085073544
Pasadena,2008,135305,Los Angeles County,9785474,0.013827127842759584
Pasadena,2009,136502,Los Angeles County,9801096,0.013927217935626792
Pasadena,2010,136912,Los Angeles County,9822121,0.01393914817380075
Berkeley,2011,114444,Alameda County,1525761,0.07500781577193283
Berkeley,2012,115622,Alameda County,1545917,0.07479185493140965
Berkeley,2013,116569,Alameda County,1569989,0.07424829091159238
Berkeley,2014,117869,Alameda County,1590729,0.07409747354829138
Berkeley,2015,119427,Alameda County,1613319,0.07402565766596687
Berkeley,2016,120260,Alameda County,1631230,0.0737235092537533
Berkeley,2017,121210,Alameda County,1644303,0.07371512428062224
Berkeley,2018,121763,Alameda County,1651760,0.07371712597471787
Berkeley,2019,122297,Alameda County,1659608,0.0736902931294619
Berkeley,2020,122364,Alameda County,1663114,0.07357523296659159
Long Beach,2011,465184,Los Angeles County,9881070,0.047078302248643115
Long Beach,2012,469164,Los Angeles County,9956888,0.04711954176847224
Long Beach,2013,471330,Los Angeles County,10025721,0.04701208022844442
Long Beach,2014,473321,Los Angeles County,10078942,0.046961377493788536
Long Beach,2015,474196,Los Angeles County,10124800,0.04683509797724399
Long Beach,2016,474439,Los Angeles County,10150386,0.046740981081901715
Long Beach,2017,474530,Los Angeles County,10181162,0.04660862875966417
Long Beach,2018,474257,Los Angeles County,10192593,0.04652957299482085
Long Beach,2019,472870,Los Angeles County,10163139,0.04652794771379197
Long Beach,2020,472052,Los Angeles County,10135614,0.04657359682403059
Pasadena,2011,139173,Los Angeles County,9881070,0.014084810653097286
Pasadena,2012,139908,Los Angeles County,9956888,0.01405137830213617
Pasadena,2013,140858,Los Angeles County,10025721,0.014049662862152259
Pasadena,2014,141330,Los Angeles County,10078942,0.014022305118930142
Pasadena,2015,141452,Los Angeles County,10124800,0.01397084386852086
Pasadena,2016,142084,Los Angeles County,10150386,0.013997891311719574
Pasadena,2017,143944,Los Angeles County,10181162,0.014138268303755504
Pasadena,2018,144596,Los Angeles County,10192593,0.014186380246910673
Pasadena,2019,145217,Los Angeles County,10163139,0.014288597253269881
Pasadena,2020,145061,Los Angeles County,10135614,0.014312009119526454
Berkeley,2021,121269,Alameda County,1662370,0.07294946371746362
Berkeley,2022,124563,Alameda County,1651979,0.07540229022281761
Long Beach,2021,459757,Los Angeles County,9931338,0.04629356084749104
Long Beach,2022,460682,Los Angeles County,9861224,0.046716513081946014
Pasadena,2021,139029,Los Angeles County,9931338,0.013999020071615728
Pasadena,2022,138310,Los Angeles County,9861224,0.014025642252929252
